city,n,rmse,mae,bias,horizon_bucket
ANK,365,2.009482386092202,1.50484346069866,0.02639919578285532,h9
ATL,364,1.9839427219735957,1.5303879198303976,-0.07461529737715507,h9
BUE,365,2.122992985468365,1.628303264312505,-0.38193827213237536,h9
CHI,364,2.4168429610035345,1.7594108169617677,0.06120293113354346,h9
DAL,356,1.8837679978565014,1.4055395480986168,0.22941978180193862,h9
LON,365,1.8722026608436468,1.4313542488725999,-0.2612606340784315,h9
MIA,364,1.2593071450989473,0.9145701553673445,0.018419205247417202,h9
NYC,364,2.1310805523424228,1.5937797748154718,0.2314909650338457,h9
PAR,365,1.936132137981176,1.5400419780315426,0.22912767851815335,h9
SEA,365,1.4219886259728989,1.1329843153026913,0.07665853739316877,h9
SEL,366,0.9661375026349055,0.687140899262519,0.011686650849557003,h9
TOR,364,2.137905927119949,1.6268285390914894,0.22085685974583208,h9
WLG,365,0.8537159408384719,0.6322242648635418,0.041794575138930964,h9
ANK,365,2.0750819598535135,1.5768927235392298,0.05421133080743845,h8
ATL,364,1.7560325214040322,1.3571316898411174,0.09162168222436137,h8
BUE,365,1.940098595002244,1.4860751866582225,-0.16788142610889864,h8
CHI,364,2.331747089788631,1.7205154826463225,0.12122953931481169,h8
DAL,356,1.7704436247748292,1.3461515372398105,0.3025601687324949,h8
LON,365,1.7906033193737572,1.372634663857108,-0.17073133317774453,h8
MIA,364,1.2354603692035997,0.9012859197566077,0.1285622529457347,h8
NYC,364,1.9798077036773785,1.5571591729410632,0.4037315787063522,h8
PAR,365,1.8582586065448912,1.467312280501841,0.06562776287574693,h8
SEA,365,1.2789586077400563,1.0173120777426572,0.11756857520019434,h8
SEL,366,0.9924031895799604,0.6968022851881946,0.02046395517075299,h8
TOR,364,2.044645272379709,1.5614610742746478,0.20671583038466967,h8
WLG,365,0.8337361745146673,0.6101113986036606,0.06047314035399268,h8
ANK,365,1.7796539220517722,1.3838973454683003,-0.17021199767376108,h7
ATL,364,1.7142365706563087,1.2823409765918312,0.3871813869351897,h7
BUE,365,1.6953608895875178,1.330822653091394,0.009950826737986987,h7
CHI,364,2.1426766822444883,1.5946792708210316,0.34897724964033894,h7
DAL,356,1.5952227699760275,1.2324174913764483,0.5202051249220949,h7
LON,365,1.65731367283877,1.267589112359936,-0.15148753836854253,h7
MIA,364,1.2571217028893247,0.9503635292551061,0.28208427964342947,h7
NYC,364,1.862768318452711,1.469811950171133,0.4435713548325265,h7
PAR,365,1.7705817669909973,1.4082798205511557,-0.015443283901404068,h7
SEA,365,1.2638863718645574,0.9936482227882937,0.2115934603029657,h7
SEL,366,0.8956710563982246,0.6475648923998524,0.011644763421247942,h7
TOR,364,1.778493399969994,1.339576232142214,0.18133083678410283,h7
WLG,365,0.7479560713032842,0.5549483292570105,0.05104255192229867,h7
ANK,365,1.6526490550793873,1.2848238462738222,0.2842272640592184,h6
