feature,importance_mean,importance_std,horizon_bucket
delta_temp_13h,0.3410519034710682,0.0,h9
city,0.2943062871166422,0.0,h9
delta_temp_14h,0.2106873979273447,0.0,h9
solar_elevation_deg,0.19116429555132153,0.0,h9
cldc,0.17763945761908362,0.0,h9
wspd,0.15822509099924953,0.0,h9
temp_roll_std_24h,0.0710296235876986,0.0,h9
temp_roll_std_12h,0.05538678465535796,0.0,h9
wdir,0.05146825355783946,0.0,h9
coco,0.043076258651346455,0.0,h9
delta_temp_12h,0.040149777995123204,0.0,h9
pres,0.02623006492526825,0.0,h9
solar_hour_angle_deg,0.025460075665906245,0.0,h9
temp_lag_24h,0.024529467762561374,0.0,h9
delta_temp_17h,0.022290158635400514,0.0,h9
doy_cos,0.01996640845209985,0.0,h9
delta_pres_6h,0.015787127611851304,0.0,h9
temp_lag_2h,0.014876898097611946,0.0,h9
temp,0.013910329036981306,0.0,h9
rhum,0.013186291825307839,0.0,h9
temp_trend_1h,0.012879632966564136,0.0,h9
delta_temp_16h,0.012423874329752893,0.0,h9
delta_temp_15h,0.010761660396827466,0.0,h9
temp_lag_14h,0.009209574898563444,0.0,h9
temp_lag_13h,0.009154794359360396,0.0,h9
wpgt,0.0081734780177396,0.0,h9
temp_lag_1h,0.007808537155016504,0.0,h9
delta_temp_19h,0.006923399315243772,0.0,h9
delta_temp_18h,0.006787229960884877,0.0,h9
doy_sin,0.004743965825226848,0.0,h9
delta_temp_11h,0.004619315885302067,0.0,h9
temp_lag_3h,0.004487309912082793,0.0,h9
temp_lag_17h,0.004189044201230008,0.0,h9
temp_roll_mean_3h,0.004144257865132062,0.0,h9
hours_since_rain,0.003931591228063525,0.0,h9
solar_heating_efficiency,0.0032963192929120755,0.0,h9
delta_temp_6h,0.002627332563601925,0.0,h9
delta_cldc_6h,0.002381477864615178,0.0,h9
delta_temp_21h,0.002376305376073473,0.0,h9
temp_lag_15h,0.0020470005341337583,0.0,h9
temp_roll_std_3h,0.0019332172419264104,0.0,h9
delta_temp_3h,0.0018775956150263173,0.0,h9
temp_lag_20h,0.0016623898965644202,0.0,h9
temp_roll_std_6h,0.0016070373899959023,0.0,h9
delta_temp_20h,0.001554518975159791,0.0,h9
temp_lag_10h,0.0015216335152161697,0.0,h9
delta_cldc_3h,0.001430846300157329,0.0,h9
delta_temp_7h,0.001334538887882486,0.0,h9
delta_temp_22h,0.001310255955348616,0.0,h9
delta_temp_23h,0.0012893111471352636,0.0,h9
temp_lag_19h,0.0011411600800266264,0.0,h9
delta_temp_10h,0.0011227625055225676,0.0,h9
delta_temp_24h,0.0011130358592110756,0.0,h9
temp_lag_22h,0.0011009627501716857,0.0,h9
yesterday_max_temp,0.0010988718072808545,0.0,h9
temp_lag_7h,0.0010909660029352342,0.0,h9
temp_roll_mean_12h,0.0009229352381696643,0.0,h9
temp_roll_mean_6h,0.0008636998531539319,0.0,h9
delta_temp_2h,0.0008462404852409566,0.0,h9
delta_temp_4h,0.0007926506712390147,0.0,h9
temp_lag_5h,0.0005778183349756105,0.0,h9
longitude,0.0005522473898549318,0.0,h9
delta_temp_8h,0.0005044843602350912,0.0,h9
temp_lag_6h,0.0004576832853699919,0.0,h9
rain_6h_sum,0.00040745572767852956,0.0,h9
temp_lag_11h,0.00032599818129708247,0.0,h9
temp_lag_16h,0.0001848466471559007,0.0,h9
temp_lag_4h,0.00014036326354194273,0.0,h9
temp_lag_9h,0.00013529359213038106,0.0,h9
temp_lag_8h,0.00012564308209395136,0.0,h9
temp_roll_mean_24h,8.951347180041758e-05,0.0,h9
delta_temp_5h,8.111087276074791e-05,0.0,h9
is_daylight,0.0,0.0,h9
is_coastal_airport,0.0,0.0,h9
delta_temp_1h,0.0,0.0,h9
is_us_airport,0.0,0.0,h9
is_raining,0.0,0.0,h9
delta_pres_3h,-1.6839223857978425e-05,0.0,h9
hours_from_solar_peak,-2.267558035629058e-05,0.0,h9
