city,month,n_days,mean_peak_offset_hours,median_peak_offset_hours,std_peak_offset_hours,p10_peak_offset_hours,p90_peak_offset_hours,mean_abs_peak_offset_hours,median_abs_peak_offset_hours,mean_peak_hour_local,median_peak_hour_local,mean_solar_noon_hour_local,median_solar_noon_hour_local,mean_daily_max_temp,p90_daily_max_temp,mean_n_peak_obs
ANK,1,651,2.517384993052462,2.88736037767,1.5391846952251467,0.6008637899172222,4.0006183352511115,2.649283289772951,2.983069958392222,14.937433009045913,15.0,12.420048259818685,12.013829332993696,3.813364055299539,10.0,1.6159754224270353
ANK,2,593,2.554839493177449,2.963010871954167,1.403762225370189,0.9658314807788888,3.967264668670278,2.6629796373467784,2.9637401382980553,15.061358441071762,15.0,12.506519215567542,12.037838340122565,7.007925801011804,14.0,1.5868465430016863
ANK,3,635,2.642736963983396,3.0126706203241667,1.4695232864799281,0.7096339003981679,4.073855537208056,2.7700741190843665,3.0167952867311114,15.126089238845145,15.0,12.483352274861932,12.87861301756245,11.531653543307087,18.0,1.4299212598425197
ANK,4,600,2.845003461483495,3.1978331328566667,1.5211971060463831,0.7191999115236667,4.236709733942222,2.953064340944722,3.199999610191111,15.65,16.0,12.804996538516598,12.800000389809025,16.918833333333332,23.1,1.47
ANK,5,620,2.9907290388910304,3.262523896801111,1.6302304049120997,0.7581105695819166,5.24717216079,3.1061510549833637,3.262854343875,15.732123655913977,16.0,12.741394617023058,12.739669415188375,21.56774193548387,28.0,1.4516129032258065
ANK,6,600,3.110614728245486,3.2195578677230556,1.5382367948899283,1.1487964580080554,5.181188210029167,3.179864697926598,3.2195578677230556,15.915277777777776,16.0,12.804663049532499,12.804336288981231,26.075666666666667,31.0,1.435
ANK,7,620,3.455126849471127,3.5971979702947223,1.1639656310349535,2.09117641992,5.091916371346111,3.466834028126684,3.5971979702947223,16.348790322580644,16.5,12.893663473109552,12.898605203152151,30.04612903225806,34.010000000000005,1.5096774193548388
ANK,8,620,3.4966990901799893,3.625085834836111,0.9726436977881093,2.131992581521111,4.613741604168362,3.499400559714721,3.625085834836111,16.36774193548387,16.5,12.871042845303991,12.878313237071795,30.839677419354835,35.0,1.482258064516129
ANK,9,600,3.1781458139554557,3.3481969102380558,1.161999709304748,2.1989827358391665,4.283392129811111,3.228190635690071,3.3481969102380558,15.89611111111111,16.0,12.71796529715581,12.716607870188914,25.792166666666667,31.110000000000003,1.55
ANK,10,620,2.8092466800214964,2.9581481650341663,1.1300517958274043,1.4356792562047225,3.962705881525,2.8560847739796236,2.9581481650341663,15.311021505376345,15.5,12.501774825355012,12.556697210230395,19.315322580645162,25.01,1.4629032258064516
ANK,11,600,2.597223456132729,2.469240885357222,1.0763206113579573,1.4109183833039167,3.472427671515,2.6446802361881674,2.469240885357222,14.66711111111111,15.0,12.069887654978526,12.527341770910956,12.984833333333333,19.2,1.3716666666666666
ANK,12,620,2.454563167683091,2.336046119295,1.341125404262469,0.83260565742,3.7358487658141666,2.571764637794236,2.33948658117,14.684212365591398,15.0,12.229649581932879,12.23528659987751,6.3956451612903225,11.5,1.4838709677419355
ATL,1,682,2.374602316916573,2.7461618100741663,1.8443073624616164,0.1999259008,4.1548832917250005,2.7781255418900193,2.7866230186630556,15.146646301726948,15.5,12.772044450294876,12.778202946679242,11.636950146627566,19.4,1.967741935483871
ATL,2,621,2.5147722455859403,3.1348242052872224,2.0358748011428527,0.14071679280305555,4.140498768644166,2.9932228262648426,3.1376281123091667,15.373935856146002,16.0,12.85916380226331,12.860893835248236,14.462640901771335,21.7,1.8244766505636072
ATL,3,665,2.7305369234137977,3.1804842773391666,1.7684532348795239,0.727387587571,4.256094527595001,3.0244977656335776,3.192852542542222,16.127907268170425,16.5,13.397370344756785,13.722740222667392,18.665413533834588,25.6,1.8451127819548871
ATL,4,630,2.9867547028099257,3.3585112861522224,1.6276881160083898,1.3575774309069166,4.380151975864167,3.2098761867853556,3.367479988855,16.61522486772487,17.0,13.628470164915084,13.628187056475692,22.80920634920635,27.8,1.8698412698412699
